lalvoterid,transaction_id,contribution_date,amount,memo_text_description
LALDC174631767,SA11AI_278204367,2020-08-14,200,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174631767,SA11AI_276159472,2020-08-11,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174631767,SA11AI_340251108,2020-10-29,50,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174631767,SA11AI_266638443,2020-07-16,100,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174631767,SA11AI_344810654,2020-11-02,59,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174631767,SA11AI_277741725,2020-08-13,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174656822,SA11AI_345108535,2020-11-03,5,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174791666,SA11AI_265686391,2020-07-13,200,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174822005,SA11AI_213376480,2020-02-26,100,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174822005,SA11AI_342918290,2020-10-31,250,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174822005,SA11AI_241223263,2020-06-01,1000,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174822005,SA11AI_281006815,2020-08-20,250,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174822005,SA11AI_276251324,2020-08-11,100,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174822005,SA11AI_344943066,2020-11-02,250,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174970554,SA11AI_287985697,2020-08-31,2800,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174980546,SA11AI_234199490,2020-05-13,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174980546,SA11AI_279086967,2020-08-16,35,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174980546,SA11AI_262246341,2020-07-01,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174980546,SA11AI_331616378,2020-10-21,35,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174980546,SA11AI_229376644,2020-04-24,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174980546,SA11AI_271982911,2020-08-01,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174980546,SA11AI_224564612,2020-04-03,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174980546,SA11AI_313936673,2020-10-01,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174980546,SA11AI_240029045,2020-06-01,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174980546,SA11AI_343020601,2020-11-01,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174980546,SA11AI_224876525,2020-04-04,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174980546,SA11AI_231294621,2020-05-01,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174980546,SA11AI_227951157,2020-04-18,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174980546,SA11AI_235557740,2020-05-19,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC175048238,SA11AI_333369965,2020-10-23,250,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC409346566,SA11AI_209708850,2020-02-16,27,Earmarked for BERNIE 2020 (C00696948)
LALDC430634648,SA11AI_344782178,2020-11-02,50,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC455576157,SA11AI_332718018,2020-10-22,50,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC455576157,SA11AI_254647469,2020-06-11,35,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC455576157,SA11AI_276085230,2020-08-11,100,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC455576157,SA11AI_265066558,2020-07-11,35,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC455576157,SA11AI_281595465,2020-08-20,100,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC455576157,SA11AI_234785962,2020-05-15,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC455576157,SA11AI_320040564,2020-10-08,50,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC455576157,SA11AI_275541192,2020-08-11,35,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC455576157,SA11AI_321803900,2020-10-11,35,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC455576157,SA11AI_233811032,2020-05-11,35,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC455576157,SA11AI_273902782,2020-08-06,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC475451980,SA11AI_319058428,2020-10-07,250,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC475451980,SA11AI_214816548,2020-02-29,100,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC548081340,SA11AI_270472205,2020-07-28,10,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC548081340,SA11AI_326558363,2020-10-15,50,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC548081340,SA11AI_272035968,2020-08-01,10,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC548081340,SA11AI_319068568,2020-10-07,50,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC548081340,SA11AI_315297007,2020-10-02,15,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC548081340,SA11AI_332908594,2020-10-22,15,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC548081340,SA11AI_313983247,2020-10-01,10,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC548081340,SA11AI_225741078,2020-04-08,10,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174664723,SA11AI_252391100,2020-06-07,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174664723,SA11AI_324899122,2020-10-14,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174664723,SA11AI_319132525,2020-10-07,15,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174707864,SA11AI_338532429,2020-10-28,100,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174707864,SA11AI_319258601,2020-10-07,100,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174707864,SA11AI_334501198,2020-10-24,100,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174707864,SA11AI_331191143,2020-10-21,100,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174707864,SA11AI_318440918,2020-10-07,100,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174707864,SA11AI_324613439,2020-10-14,100,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174743917,SA11AI_282047297,2020-08-21,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174795283,SA11AI_205501848,2020-02-04,50,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174795283,SA11AI_227920687,2020-04-18,50,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174795283,SA11AI_341240164,2020-10-30,100,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174804365,SA11AI_239417550,2020-05-31,2800,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174812632,SA11AI_332823644,2020-10-22,50,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174827919,SA11AI_267114993,2020-07-18,10,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174827919,SA11AI_332881299,2020-10-22,30,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174827919,SA11AI_236006465,2020-05-21,10,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174827919,SA11AI_256467438,2020-06-15,15,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174827919,SA11AI_227585575,2020-04-16,10,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174832626,SA11AI_226729887,2020-04-13,100,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174832626,SA11AI_337555336,2020-10-27,200,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174832626,SA11AI_261768369,2020-06-30,100,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174832626,SA11AI_226730083,2020-04-13,5,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174832626,SA11AI_214937908,2020-02-29,250,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174894385,SA11AI_321366715,2020-10-10,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174894385,SA11AI_263069024,2020-07-03,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174903504,SA11AI_342451706,2020-10-31,20,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174903504,SA11AI_280208707,2020-08-18,10,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174999552,SA11AI_259273670,2020-06-23,100,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC175018901,SA11AI_284775972,2020-08-27,5,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC175018901,SA11AI_284774878,2020-08-27,500,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC175024456,SA11AI_331530341,2020-10-21,200,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC175038423,SA11AI_274122173,2020-08-06,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC175065909,SA11AI_239478977,2020-05-31,50,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC175065909,SA11AI_235932979,2020-05-20,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC175065909,SA11AI_228983898,2020-04-22,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC409315223,SA11AI_332821738,2020-10-22,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC409348203,SA11AI_334613270,2020-10-24,50,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC409348203,SA11AI_268685545,2020-07-23,50,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC409348203,SA11AI_271862470,2020-07-31,50,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC409348203,SA11AI_337426029,2020-10-27,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC455560637,SA11AI_333825359,2020-10-23,15,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC455560637,SA11AI_331828004,2020-10-21,15,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC455560637,SA11AI_272231095,2020-08-01,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC455560637,SA11AI_287680448,2020-08-31,15,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC455560637,SA11AI_268696015,2020-07-23,50,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC455576590,SA11AI_275763072,2020-08-11,5,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC455576590,SA11AI_275762366,2020-08-11,15,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC455576590,SA11AI_323237452,2020-10-12,15,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC486528381,SA11AI_275742817,2020-08-11,50,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC563346486,SA11AI_340223422,2020-10-29,100,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC582476708,SA11AI_323880861,2020-10-13,5,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174611264,SA11AI_278166432,2020-08-14,10,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174611264,SA11AI_338102025,2020-10-27,15,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174624151,SA11AI_318484432,2020-10-07,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174624151,SA11AI_342699104,2020-10-31,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174624151,SA11AI_285329625,2020-08-28,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174624151,SA11AI_285378467,2020-08-28,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174624151,SA11AI_285201007,2020-08-28,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174624151,SA11AI_285570268,2020-08-28,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174624151,SA11AI_285392948,2020-08-28,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174636258,SA11AI_322077480,2020-10-11,10,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174664238,SA11AI_324419284,2020-10-13,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174664238,SA11AI_263777676,2020-07-06,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174664238,SA11AI_343407709,2020-11-01,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174664238,SA11AI_336093247,2020-10-26,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174664238,SA11AI_272088731,2020-08-01,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174664238,SA11AI_284802131,2020-08-27,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174664238,SA11AI_279925001,2020-08-18,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174664238,SA11AI_265961993,2020-07-14,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174664238,SA11AI_286885519,2020-08-30,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174664238,SA11AI_318691364,2020-10-07,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174675261,SA11AI_281147164,2020-08-20,12.5,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174675261,SA11AI_315878711,2020-10-03,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174675261,SA11AI_286928147,2020-08-30,12.5,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174675261,SA11AI_341082274,2020-10-30,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174675261,SA11AI_329016818,2020-10-18,12.5,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174683260,SA11AI_280602353,2020-08-19,50,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174685340,SA11AI_342684527,2020-10-31,20,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174685340,SA11AI_325392117,2020-10-14,15,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174685340,SA11AI_277346581,2020-08-13,18.91,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174685340,SA11AI_330619524,2020-10-20,15,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174685340,SA11AI_332735549,2020-10-22,15,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174685340,SA11AI_317188967,2020-10-05,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174685340,SA11AI_319267183,2020-10-07,25,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174692856,SA11AI_269546224,2020-07-26,50,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174692856,SA11AI_319638476,2020-10-08,50,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174692856,SA11AI_269546316,2020-07-26,50,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174705846,SA11AI_246305966,2020-06-03,5,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174705846,SA11AI_246282596,2020-06-03,5,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174767743,SA11AI_197788355,2020-01-02,5,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174856241,SA11AI_336284630,2020-10-26,250,Earmarked for BIDEN FOR PRESIDENT (C00703975)
LALDC174856241,SA11AI_211034253,2020-02-20,100,Earmarked for BERNIE 2020 (C00696948)
LALDC174910625,SA11AI_277526434,2020-08-13,15,Earmarked for BIDEN FOR PRESIDENT (C00703975)
