lalvoterid,zip,age,gender,religion,ethnicity
LALDC505994627,20002,30,M,,European
LALDC506000393,20011,33,M,,Likely African-American
LALDC506005973,20001,36,M,,
LALDC506007047,20011,38,F,,Likely African-American
LALDC506008535,20005,66,F,,East and South Asian
LALDC506008837,20010,28,F,,Likely African-American
LALDC506014465,20015,36,M,,Hispanic and Portuguese
LALDC506018264,20018,42,M,,Likely African-American
LALDC506019905,20016,62,F,,European
LALDC506021563,20009,44,F,,European
LALDC506022515,20020,26,F,Jewish,
LALDC506023101,20015,27,M,,Hispanic and Portuguese
LALDC506026255,20001,33,F,,European
LALDC506028195,20003,38,F,,European
LALDC506028954,20009,36,F,,Other
LALDC519087582,20020,76,F,Protestant,Likely African-American
LALDC519092793,20003,41,M,,Likely African-American
LALDC519093273,20032,65,F,,Likely African-American
LALDC519093353,20011,48,M,,Likely African-American
LALDC519093442,20003,33,F,,European
LALDC519094476,20032,40,F,,Likely African-American
LALDC537046438,20011,25,F,,Likely African-American
LALDC537046621,20011,22,,,Likely African-American
LALDC537047293,20009,51,F,,European
LALDC537047673,20011,40,,,
LALDC537049203,20024,42,F,,European
LALDC537049614,20002,32,F,,Likely African-American
LALDC537050940,20009,39,F,,Other
LALDC537051964,20012,36,F,,European
LALDC537052529,20009,66,F,,European
LALDC537053116,20011,71,F,,Likely African-American
LALDC548079468,20003,47,F,,European
LALDC548083579,20032,48,M,,Likely African-American
LALDC548085830,20032,28,F,,Likely African-American
LALDC548086431,20032,57,F,,Likely African-American
LALDC548086473,20019,30,F,,Likely African-American
LALDC548089238,20011,41,,,Likely African-American
LALDC548095059,20020,30,F,,Likely African-American
LALDC548095492,20002,32,F,,European
LALDC548096113,20002,63,M,Jewish,European
LALDC548098306,20008,40,M,,European
LALDC548099339,20024,40,M,,Likely African-American
LALDC551182357,20009,64,F,,Hispanic and Portuguese
LALDC551182510,20011,42,M,,Hispanic and Portuguese
LALDC551182624,20017,33,M,,Likely African-American
LALDC551186738,20020,33,F,,Likely African-American
LALDC551188959,20018,62,M,,Likely African-American
LALDC551190843,20009,27,F,,Likely African-American
LALDC551193497,20001,61,M,,European
LALDC551193857,20001,30,F,,European
LALDC551195085,20007,27,F,,European
LALDC551195642,20011,36,M,,European
LALDC551200647,20017,52,M,,East and South Asian
LALDC551201993,20010,32,F,,European
LALDC551202835,20002,53,M,,Hispanic and Portuguese
LALDC551204588,20018,37,F,Jewish,European
LALDC551207494,20002,45,M,,European
LALDC551211306,20037,61,M,,Likely African-American
LALDC563349232,20020,22,M,,Likely African-American
LALDC563351334,20010,39,M,,Likely African-American
LALDC563353159,20020,60,M,,Likely African-American
LALDC563357134,20001,32,M,,European
LALDC563357616,20024,26,M,,Hispanic and Portuguese
LALDC582458104,20011,56,M,,Likely African-American
LALDC582463120,20009,31,M,,European
LALDC582464511,20032,29,M,,Likely African-American
LALDC582467399,20009,66,M,,
LALDC582469342,20019,30,F,Protestant,Likely African-American
LALDC582473303,20005,33,M,,Hispanic and Portuguese
LALDC582475022,20016,64,F,,Other
LALDC582484353,20024,28,F,,European
LALDC593244586,20010,47,M,,Likely African-American
LALDC593245252,20011,30,F,,European
LALDC593245379,20020,31,F,,Likely African-American
LALDC593246166,20020,24,F,,Likely African-American
LALDC593246601,20010,47,M,,Hispanic and Portuguese
LALDC593246872,20002,52,F,,Likely African-American
LALDC593249888,20010,47,M,,European
LALDC593251037,20007,50,F,,Likely African-American
LALDC593252185,20018,34,F,,Likely African-American
LALDC593254082,20001,57,M,,European
LALDC596415671,20012,45,F,,Likely African-American
LALDC596415764,20008,74,M,Catholic,European
LALDC596417179,20002,33,F,,Likely African-American
LALDC596420652,20018,38,M,,Likely African-American
LALDC596423154,20019,55,F,,Likely African-American
LALDC596424441,20020,23,F,Protestant,Likely African-American
LALDC611050077,20003,29,F,,European
LALDC611050112,20003,33,F,,European
LALDC611050542,20011,40,M,,Likely African-American
LALDC611050652,20003,33,M,,Likely African-American
LALDC611052562,20003,44,M,,Likely African-American
LALDC611054318,20011,60,M,,Likely African-American
LALDC611055328,20032,60,M,,European
LALDC611059184,20010,26,M,,Likely African-American
LALDC611060805,20001,55,F,,Likely African-American
LALDC611065925,20017,56,M,,Likely African-American
LALDC611067052,20011,49,M,,Hispanic and Portuguese
LALDC611068168,20002,30,F,,European
LALDC611069920,20019,24,F,,European
LALDC611071339,20019,31,F,Protestant,Likely African-American
LALDC611071879,20032,62,M,,Likely African-American
LALDC611072291,20011,49,M,,Likely African-American
LALDC611073696,20032,30,F,,Likely African-American
LALDC611076734,20003,67,F,Jewish,
LALDC611076776,20024,38,M,,Likely African-American
LALDC611077350,20020,58,M,,Likely African-American
LALDC630228621,20032,52,,,Hispanic and Portuguese
LALDC630228785,20008,25,F,,Other
LALDC630229564,20017,26,,,Likely African-American
LALDC630233823,20007,32,M,,
LALDC630234488,20009,30,M,,Likely African-American
LALDC630234637,20009,46,M,,East and South Asian
LALDC630239701,20002,35,F,,Likely African-American
LALDC630240924,20001,52,F,,East and South Asian
LALDC630241630,20005,50,M,,European
LALDC630242454,20009,44,M,,European
LALDC641951349,20009,27,F,,European
LALDC641956672,20001,31,F,,European
LALDC641957883,20008,39,F,Jewish,
LALDC641961400,20009,32,F,Jewish,
LALDC641964449,20003,27,M,,European
LALDC174601711,20016,90,M,Jewish,European
LALDC174602725,20019,90,M,,Likely African-American
LALDC174608270,20012,98,F,Protestant,European
LALDC174609498,20003,93,F,,Likely African-American
LALDC174610989,20010,72,F,Protestant,European
LALDC174611584,20009,88,M,Protestant,European
LALDC174611610,20002,72,F,,Likely African-American
LALDC174613426,20019,64,,Protestant,Likely African-American
LALDC174614375,20020,88,F,Protestant,Likely African-American
LALDC174617115,20016,88,F,Protestant,European
LALDC174620390,20007,70,F,Protestant,European
LALDC174623665,20002,62,F,Protestant,Likely African-American
LALDC174631684,20009,76,M,Catholic,Hispanic and Portuguese
LALDC174632783,20018,65,F,Protestant,Likely African-American
LALDC174646133,20032,52,M,,Likely African-American
LALDC174648721,20007,77,F,Jewish,European
LALDC174649085,20012,67,F,Protestant,Likely African-American
LALDC174655316,20019,84,M,Protestant,Likely African-American
LALDC174658199,20012,59,F,Protestant,Likely African-American
LALDC174659260,20024,83,F,Catholic,Hispanic and Portuguese
LALDC174660412,20020,66,F,,Likely African-American
LALDC174662019,20011,75,F,Protestant,Likely African-American
LALDC174663980,20016,83,M,Protestant,European
LALDC174665314,20011,70,F,Protestant,Likely African-American
LALDC174666110,20010,74,F,,Likely African-American
LALDC174666254,20020,57,M,Protestant,Likely African-American
LALDC174668202,20012,73,F,Protestant,European
LALDC174670546,20007,65,F,,European
LALDC174671575,20019,62,M,Protestant,Likely African-American
LALDC174673501,20010,90,F,Protestant,Likely African-American
LALDC174674124,20019,67,F,Protestant,Likely African-American
LALDC174675321,20009,65,M,Catholic,European
LALDC174675335,20020,59,M,Protestant,Likely African-American
LALDC174677050,20011,80,F,Protestant,Likely African-American
LALDC174677400,20036,97,F,Catholic,European
LALDC174684889,20007,81,F,Protestant,European
LALDC174691674,20003,52,M,Protestant,European
LALDC174699583,20020,93,M,,Likely African-American
LALDC174700607,20011,55,F,,Likely African-American
LALDC174703202,20009,65,F,Catholic,Other
LALDC174709950,20032,65,M,,Likely African-American
LALDC174711977,20020,52,F,Protestant,Likely African-American
LALDC174714037,20010,62,F,Protestant,Likely African-American
LALDC174722465,20032,55,F,Protestant,Likely African-American
LALDC174726302,20009,55,F,,Hispanic and Portuguese
LALDC174727485,20011,71,M,Protestant,European
LALDC174727779,20020,56,M,,Likely African-American
LALDC174727889,20011,46,M,,Likely African-American
LALDC174728415,20017,64,F,Protestant,Likely African-American
LALDC174729111,20011,76,F,Protestant,Likely African-American
LALDC174731386,20020,73,F,Protestant,Likely African-American
LALDC174732056,20019,46,M,,Likely African-American
LALDC174733719,20020,60,F,,Likely African-American
LALDC174734135,20019,73,F,Jewish,European
LALDC174738150,20024,72,F,,Likely African-American
LALDC174739406,20016,60,M,,European
LALDC174741234,20032,71,M,,Likely African-American
LALDC174745443,20032,65,M,,Likely African-American
LALDC174749252,20037,55,M,,East and South Asian
LALDC174752140,20024,56,F,,Likely African-American
LALDC174758992,20016,57,F,,European
LALDC174761674,20020,55,M,Protestant,Likely African-American
LALDC174768682,20019,43,F,Protestant,Likely African-American
LALDC174769267,20009,47,M,,European
LALDC174772455,20011,80,F,Protestant,Likely African-American
LALDC174776135,20011,63,M,Protestant,Likely African-American
LALDC174783192,20002,48,F,,Likely African-American
LALDC174784226,20011,66,M,Catholic,Hispanic and Portuguese
LALDC174793454,20011,52,F,Protestant,Likely African-American
LALDC174794218,20019,44,F,Protestant,Likely African-American
LALDC174795265,20018,43,F,Protestant,Likely African-American
LALDC174795788,20019,39,F,Protestant,Likely African-American
LALDC174796898,20019,45,M,,Likely African-American
LALDC174800715,20020,46,M,Protestant,Likely African-American
LALDC174802797,20007,47,M,Protestant,European
LALDC174811810,20020,82,F,Protestant,Likely African-American
LALDC174813303,20008,53,M,Jewish,
LALDC174815135,20020,46,M,Islamic,Other
LALDC174817433,20015,50,M,Catholic,European
LALDC174818279,20005,53,F,Catholic,European
LALDC174820363,20019,57,F,,Likely African-American
LALDC174821903,20019,46,F,,Likely African-American
LALDC174827130,20037,79,M,,Other
LALDC174827902,20024,65,M,Protestant,Likely African-American
LALDC174828655,20011,47,M,,European
LALDC174832406,20011,36,M,,Likely African-American
LALDC174835111,20018,52,F,Protestant,Likely African-American
LALDC174603196,20019,89,F,Protestant,Likely African-American
LALDC174613163,20002,79,M,Protestant,European
LALDC174623130,20008,75,F,Jewish,Other
LALDC174629547,20015,77,M,Jewish,European
LALDC174630744,20019,65,M,,Likely African-American
LALDC174630757,20015,74,F,Protestant,European
LALDC174632709,20008,78,F,Jewish,European
LALDC174632898,20016,76,F,Catholic,European
LALDC174634623,20008,57,M,Protestant,European
LALDC174638926,20007,82,F,Protestant,European
LALDC174639905,20020,58,M,Protestant,Likely African-American
LALDC174641378,20015,71,F,Protestant,European
LALDC174645455,20009,81,F,Catholic,European
LALDC174647560,20037,75,F,,
LALDC174648099,20017,73,F,Protestant,Likely African-American
LALDC174648645,20002,68,F,Protestant,European
LALDC174648670,20024,66,M,Protestant,Likely African-American
LALDC174654226,20020,86,F,Protestant,Likely African-American
LALDC174656350,20018,61,F,Protestant,Likely African-American
LALDC174658581,20011,63,F,Protestant,Likely African-American
LALDC174659852,20010,61,M,Protestant,European
LALDC174663111,20011,63,M,Catholic,Likely African-American
LALDC174673274,20011,62,F,,Likely African-American
LALDC174675191,20016,88,M,,European
LALDC174675328,20009,68,M,Protestant,European
LALDC174677260,20003,78,F,,European
LALDC174677601,20002,94,F,Protestant,Likely African-American
LALDC174683038,20008,76,M,Catholic,European
LALDC174683586,20005,54,M,Protestant,European
LALDC174683935,20032,53,M,Protestant,Likely African-American
LALDC174685995,20011,52,M,Protestant,Likely African-American
LALDC174686503,20032,75,M,Protestant,Likely African-American
LALDC174689491,20020,70,F,Protestant,Likely African-American
LALDC174690591,20011,74,F,Protestant,Likely African-American
LALDC174690607,20008,78,M,Protestant,European
LALDC174690941,20011,64,F,Protestant,Likely African-American
LALDC174691720,20016,56,F,,European
LALDC174693096,20007,76,M,Protestant,European
LALDC174694368,20002,83,M,Protestant,European
LALDC174705592,20003,62,M,Jewish,
LALDC174706798,20009,59,M,,Likely African-American
LALDC174714224,20019,49,F,Protestant,Likely African-American
LALDC174718047,20032,65,F,Protestant,Likely African-American
LALDC174718855,20011,48,M,Protestant,Likely African-American
LALDC174719381,20008,50,F,Islamic,Likely African-American
LALDC174720449,20019,69,F,,Likely African-American
LALDC174724588,20019,34,M,Islamic,Other
LALDC174728122,20024,52,F,Protestant,Likely African-American
LALDC174731354,20032,57,F,,Likely African-American
LALDC174737809,20015,50,F,Protestant,European
LALDC174738113,20032,44,M,,Likely African-American
LALDC174742467,20001,44,M,,Likely African-American
LALDC174747026,20019,64,F,Protestant,Likely African-American
LALDC174747515,20020,68,M,,Likely African-American
LALDC174766749,20003,45,F,,Likely African-American
LALDC174769136,20012,79,M,Protestant,Likely African-American
LALDC174771869,20002,42,M,Protestant,Likely African-American
LALDC174776903,20032,45,F,,Likely African-American
LALDC174777108,20003,52,F,Protestant,European
LALDC174780222,20009,40,F,,Likely African-American
LALDC174782130,20010,51,M,,European
LALDC174784716,20011,57,M,Protestant,European
LALDC174786909,20019,40,M,,East and South Asian
LALDC174790009,20011,67,F,Protestant,Likely African-American
LALDC174790522,20001,67,M,Protestant,Likely African-American
LALDC174790893,20019,43,M,Protestant,Likely African-American
LALDC174793017,20002,87,M,Catholic,Hispanic and Portuguese
LALDC174793952,20008,71,F,Protestant,European
LALDC174794805,20017,47,M,Protestant,Likely African-American
LALDC174797290,20009,50,M,Protestant,European
LALDC174799989,20002,45,F,,Likely African-American
LALDC174800123,20032,41,M,Protestant,Likely African-American
LALDC174800162,20019,58,F,,Likely African-American
LALDC174806448,20032,61,M,Protestant,Likely African-American
LALDC174812076,20032,43,F,,Likely African-American
LALDC174815658,20015,48,F,Protestant,European
LALDC174821910,20032,40,M,,Likely African-American
LALDC174825878,20011,47,F,,European
LALDC174827895,20018,72,M,Protestant,Likely African-American
LALDC174831176,20019,84,F,Jewish,
LALDC174831764,20019,45,F,,Other
LALDC174835711,20011,38,M,Catholic,Hispanic and Portuguese
LALDC174841301,20009,39,M,,Hispanic and Portuguese
LALDC174841584,20016,36,M,Protestant,European
LALDC174842806,20011,37,M,,Hispanic and Portuguese
LALDC174844247,20012,76,M,Protestant,Likely African-American
LALDC174847431,20018,54,M,Protestant,Likely African-American
LALDC174850056,20019,60,M,,Likely African-American
LALDC174602188,20020,86,M,,Likely African-American
LALDC174602511,20011,99,F,Protestant,Likely African-American
LALDC174604053,20019,85,F,Protestant,Likely African-American
LALDC174604164,20020,86,F,Protestant,Likely African-American
LALDC174609043,20018,75,F,Protestant,Likely African-American
LALDC174613517,20016,91,F,Catholic,European
LALDC174614599,20003,88,M,,Likely African-American
LALDC174620742,20015,89,M,Protestant,European
LALDC174623493,20017,66,F,Jewish,
LALDC174624278,20009,68,M,,European
LALDC174627690,20010,76,F,,Likely African-American
LALDC174628595,20019,67,F,Protestant,Likely African-American
LALDC174628769,20019,58,F,,Likely African-American
LALDC174641441,20019,58,F,Protestant,Likely African-American
LALDC174643330,20017,77,F,Protestant,Likely African-American
LALDC174647097,20001,57,F,Protestant,Likely African-American
LALDC174647106,20011,86,M,Protestant,European
LALDC174647308,20017,63,M,Protestant,European
LALDC174648028,20018,64,M,Protestant,Likely African-American
LALDC174648325,20001,63,M,Protestant,Likely African-American
LALDC174657715,20003,56,F,,Likely African-American
LALDC174660794,20011,61,F,,Likely African-American
LALDC174662441,20020,75,F,,Likely African-American
LALDC174672043,20015,88,F,Protestant,European
LALDC174674222,20019,53,F,Protestant,Likely African-American
LALDC174676051,20008,77,F,Jewish,
LALDC174676818,20019,67,F,Catholic,Hispanic and Portuguese
LALDC174677728,20009,58,M,,Likely African-American
LALDC174682191,20032,70,F,Protestant,Likely African-American
LALDC174688483,20019,61,M,,Likely African-American
LALDC174693264,20016,61,M,Protestant,European
LALDC174694789,20011,88,M,Jewish,
LALDC174696067,20019,65,M,Protestant,Likely African-American
LALDC174697938,20010,53,M,Catholic,Hispanic and Portuguese
LALDC174698655,20010,70,M,Protestant,Likely African-American
LALDC174701665,20003,68,F,Catholic,European
LALDC174702869,20018,60,F,Protestant,Likely African-American
LALDC174703502,20017,78,F,,Likely African-American
LALDC174705048,20019,54,M,,Likely African-American
LALDC174705962,20018,48,F,Protestant,Likely African-American
LALDC174706621,20011,80,F,Protestant,East and South Asian
LALDC174709105,20001,62,F,,European
LALDC174712520,20011,60,M,Protestant,Likely African-American
LALDC174716154,20002,59,F,,Likely African-American
LALDC174719345,20011,75,F,Protestant,Likely African-American
LALDC174720945,20020,67,F,,Likely African-American
LALDC174722823,20011,50,F,,Likely African-American
LALDC174730556,20019,53,F,Protestant,Likely African-American
LALDC174730839,20020,45,F,Protestant,Likely African-American
LALDC174738158,20012,45,M,,Likely African-American
LALDC174746505,20008,64,F,Protestant,European
LALDC174753829,20007,59,F,Protestant,European
LALDC174755290,20008,47,F,Jewish,European
LALDC174757012,20010,61,M,Catholic,European
LALDC174758301,20001,72,F,,Likely African-American
LALDC174758582,20007,59,F,Catholic,Hispanic and Portuguese
LALDC174758639,20011,50,M,Protestant,
LALDC174761808,20019,68,M,Protestant,Likely African-American
LALDC174762595,20015,37,M,,European
LALDC174762613,20003,80,M,Protestant,European
LALDC174765012,20009,49,M,,
LALDC174765849,20019,44,F,Protestant,Likely African-American
LALDC174767245,20019,75,F,Protestant,Likely African-American
LALDC174768417,20032,58,M,,Likely African-American
LALDC174774228,20018,67,F,,Likely African-American
LALDC174775151,20019,42,F,Protestant,Likely African-American
LALDC174784036,20032,53,M,,Likely African-American
LALDC174790450,20001,46,F,Jewish,
LALDC174796234,20011,67,F,Protestant,Likely African-American
LALDC174799625,20011,38,M,Protestant,European
LALDC174799838,20019,40,F,,Likely African-American
LALDC174801026,20007,44,F,Jewish,European
LALDC174802792,20003,85,F,,Likely African-American
LALDC174804062,20011,54,M,Protestant,European
LALDC174805147,20017,39,F,Protestant,European
LALDC174806511,20009,41,M,Protestant,Likely African-American
LALDC174807312,20032,38,F,Protestant,Likely African-American
LALDC174807719,20002,40,F,Protestant,Likely African-American
LALDC174811702,20019,37,F,,Likely African-American
LALDC174812310,20012,72,F,Protestant,Likely African-American
LALDC174812459,20008,71,M,Catholic,European
LALDC174812642,20011,51,M,,Likely African-American
LALDC174814167,20019,65,M,,Other
LALDC174819258,20018,85,M,Protestant,Likely African-American
LALDC174819734,20002,61,F,,Likely African-American
LALDC174823384,20002,65,M,,European
LALDC174824598,20011,57,F,,European
LALDC174826694,20020,37,M,,Likely African-American
LALDC174850249,20032,38,F,,Likely African-American
LALDC174858349,20011,44,F,Protestant,Likely African-American
LALDC174868819,20003,37,M,Jewish,
LALDC174870037,20012,45,M,Jewish,
LALDC174871914,20015,44,M,,European
LALDC174873188,20016,41,F,,European
LALDC174874024,20019,34,F,,Hispanic and Portuguese
LALDC174875295,20002,35,M,,Hispanic and Portuguese
LALDC174878492,20008,45,M,,
LALDC174881381,20019,68,M,,Likely African-American
LALDC174882137,20017,49,F,,Likely African-American
LALDC174883876,20004,73,F,Buddhist,East and South Asian
LALDC174888836,20020,57,M,Protestant,Hispanic and Portuguese
LALDC174891296,20020,44,F,Protestant,Likely African-American
LALDC174893018,20018,77,M,,Hispanic and Portuguese
LALDC174895472,20032,45,F,Jewish,European
LALDC174896030,20003,43,F,,Likely African-American
LALDC174897003,20001,65,F,,European
LALDC174910812,20018,48,M,,Likely African-American
